Soil_pH,Soil_Moisture_%,Soil_Temperature_C,Electrical_Conductivity_dS_m,Nitrogen_ppm,Phosphorus_ppm,Potassium_ppm,Organic_Carbon_%,Soil_Texture,Nutrient_Quality_Score
5.9,,12.07,4.58,422.21,167.8,383.9,0.62,Clay,4.42
6.83,65.23,24.17,4.57,,121.67,315.22,2.56,Loamy,5.61
5.19,46.22,49.38,5.55,452.85,248.23,651.8,0.84,Sandy,5.89
7.28,,33.59,2.83,431.52,12.96,143.04,0.59,,7.71
6.88,36.84,12.62,2.13,234.31,131.34,252.57,2.51,Clay,0.82
5.7,5.7,18.88,0.91,308.75,127.27,538.78,1.0,Clay,1.71
9.02,20.1,47.04,0.87,253.56,246.54,444.45,3.33,Sandy,9.39
5.01,52.48,23.49,5.94,320.85,174.97,,1.62,Loamy,9.5
5.29,50.63,49.23,2.3,25.83,,560.59,0.17,,6.11
6.34,66.11,6.34,5.33,68.18,144.16,325.87,2.78,Sandy,1.89
6.67,8.64,30.9,2.28,574.05,90.34,563.45,3.01,Loamy,7.22
5.79,6.57,44.87,0.11,104.57,,523.98,3.29,Loamy,0.81
8.73,25.59,,4.0,514.04,213.57,627.14,1.85,Sandy,4.45
4.6,37.24,19.05,1.99,248.37,67.69,576.54,1.41,Loamy,10.38
,29.73,,3.05,368.95,22.87,308.8,3.34,Loamy,11.35
5.61,12.08,48.21,1.39,526.35,40.41,244.12,3.35,Clay,3.28
6.36,20.87,33.98,5.0,125.73,216.59,598.86,3.33,Clay,8.86
8.69,11.58,30.07,4.12,106.19,197.84,153.0,2.88,Sandy,11.21
6.05,5.46,35.31,0.93,64.21,224.45,570.6,2.62,Clay,7.09
6.1,39.46,35.55,3.73,555.69,92.91,491.36,2.26,Sandy,10.53
,55.79,24.86,3.06,10.53,56.31,647.2,1.57,Sandy,7.89
6.29,59.11,6.92,1.76,456.78,,400.55,2.02,Loamy,7.95
8.43,60.46,,4.03,487.77,95.17,35.01,1.83,Sandy,8.59
8.91,9.62,14.45,2.05,268.9,233.57,513.59,1.72,Loamy,1.17
8.91,43.87,35.65,1.9,494.2,245.56,102.23,0.39,Loamy,11.09
8.02,31.18,5.74,3.4,151.56,116.49,477.73,2.99,Sandy,0.78
5.7,,34.17,4.92,553.48,227.28,227.87,0.76,Sandy,3.68
7.55,65.75,28.98,0.82,405.93,184.18,161.16,0.13,Clay,11.76
,24.08,33.92,5.41,201.31,70.54,211.75,3.37,Clay,7.61
4.6,56.03,,4.97,438.68,149.65,124.64,0.66,Clay,6.22
8.8,32.61,42.24,4.61,68.54,140.49,271.18,2.02,Sandy,2.28
7.76,52.36,22.27,0.73,364.98,182.78,164.1,1.38,Loamy,5.07
6.27,23.86,,0.19,489.63,137.96,617.59,0.69,Loamy,5.41
9.25,53.74,28.26,2.26,111.47,55.95,265.74,2.35,Clay,4.76
,23.3,24.24,2.01,445.31,35.9,690.36,1.51,Sandy,4.04
8.23,6.18,9.82,4.74,211.6,249.03,372.63,2.26,Loamy,5.42
6.06,,12.54,1.81,272.29,203.09,303.7,1.54,Loamy,5.89
5.26,50.16,11.06,4.18,366.37,26.95,259.69,1.05,Sandy,7.64
7.1,20.89,12.5,3.7,435.23,78.25,45.53,3.18,Sandy,10.19
9.31,5.2,23.1,3.82,509.77,28.78,425.23,1.08,Loamy,1.13
6.98,2.85,18.27,2.13,236.19,49.77,141.95,3.3,Sandy,0.64
4.38,61.29,32.79,5.34,49.67,221.45,528.4,2.95,Sandy,0.2
6.84,26.63,17.24,3.35,429.66,83.66,493.12,3.01,Sandy,10.01
7.41,14.47,49.62,3.32,179.96,210.17,,,Loamy,8.1
7.67,68.55,22.28,4.12,143.96,172.0,148.34,2.2,Clay,2.73
5.48,1.46,26.33,4.02,398.2,12.75,141.44,2.01,Clay,4.69
8.27,22.92,28.83,0.54,308.32,177.69,569.19,1.98,Clay,0.07
4.66,64.03,27.06,3.58,572.54,141.08,461.32,1.02,,9.32
7.99,68.68,41.05,3.62,563.82,141.52,490.34,1.62,Sandy,9.64
,6.98,39.04,,578.06,82.41,608.95,3.09,Sandy,7.07
8.82,26.77,20.97,4.59,307.35,199.46,521.31,3.38,Clay,7.07
4.62,19.51,24.9,3.73,371.3,111.92,213.66,2.41,Loamy,0.14
7.62,40.86,45.8,5.49,186.59,167.93,509.29,2.54,Clay,7.38
8.85,68.5,9.14,3.06,418.17,37.05,599.2,3.45,Clay,1.65
6.76,49.57,41.7,1.38,579.91,183.69,155.37,2.68,Sandy,0.34
6.93,68.44,7.6,4.19,258.24,220.28,551.43,1.09,Sandy,1.61
7.34,36.69,39.72,4.28,438.83,202.64,559.62,2.64,Sandy,7.83
5.52,52.41,12.02,3.6,522.46,191.39,338.95,2.55,Sandy,8.9
8.98,63.21,45.51,3.32,32.26,20.89,472.69,0.9,Loamy,9.66
7.71,60.81,41.59,,46.15,86.95,600.06,1.75,Loamy,8.47
5.92,60.07,,3.56,411.19,229.02,,1.24,Loamy,7.35
9.46,41.68,19.8,0.49,545.59,118.65,143.86,1.0,Sandy,2.58
7.12,24.01,37.78,2.37,,131.74,54.29,2.09,Loamy,3.45
6.49,42.85,,3.42,185.24,85.1,513.22,2.54,Loamy,7.59
6.75,69.61,26.1,0.17,555.34,189.92,32.16,0.26,Sandy,4.43
5.59,36.37,,5.75,,206.86,628.18,2.57,Loamy,4.9
5.52,44.48,,2.53,587.08,135.08,66.57,2.29,Sandy,10.81
7.95,18.14,28.99,2.87,157.46,235.7,54.92,1.54,Sandy,9.12
7.46,2.08,44.19,0.46,248.1,108.83,468.54,1.36,Sandy,4.03
7.85,63.25,43.51,2.47,480.79,176.87,59.58,1.86,Sandy,0.61
6.31,54.6,7.98,5.29,404.0,168.99,556.03,0.69,Sandy,10.5
6.2,45.04,10.61,5.65,114.38,192.74,591.79,1.57,Loamy,1.12
9.07,69.43,44.13,5.81,389.62,197.14,501.63,2.36,Loamy,2.52
4.7,16.13,11.7,1.72,454.48,46.9,274.25,0.3,,2.7
6.02,30.47,12.66,3.95,,79.38,274.68,3.31,Clay,6.72
,41.47,44.55,1.31,313.13,143.85,646.77,2.92,,9.25
4.85,17.72,42.28,2.27,38.8,85.31,319.97,1.07,Loamy,6.93
6.32,18.7,23.63,2.05,96.21,36.21,369.67,0.13,Loamy,3.86
8.14,31.33,16.88,,504.85,81.01,259.48,2.0,Sandy,10.37
7.46,27.93,10.93,1.17,352.08,17.8,442.06,,Loamy,4.89
6.53,53.74,37.17,1.99,161.03,126.81,,2.83,Loamy,0.17
7.75,57.91,16.53,4.11,131.55,70.31,259.96,1.14,Sandy,6.49
4.31,25.59,13.12,5.8,235.96,197.35,278.35,0.45,Sandy,1.86
6.3,1.75,23.82,2.26,473.35,171.18,349.53,,Clay,6.42
7.04,42.2,16.54,0.78,189.51,182.81,285.73,1.08,Loamy,10.18
7.72,7.0,8.45,5.4,571.76,72.67,513.34,0.74,Clay,10.12
8.2,57.53,40.27,2.97,112.92,70.33,689.78,1.81,Clay,4.26
5.37,60.02,,2.61,484.65,159.41,530.74,2.09,Loamy,10.84
4.88,36.75,44.24,4.8,573.52,73.33,,0.32,Clay,10.51
4.89,,36.62,2.27,531.99,,185.52,0.66,Sandy,6.99
7.05,32.82,16.94,2.88,,79.75,221.51,2.47,Sandy,2.71
8.08,0.31,12.19,1.33,163.71,124.78,569.8,1.93,Sandy,8.48
8.85,69.73,11.65,5.1,182.92,45.41,538.6,3.35,Sandy,5.34
5.31,44.81,48.54,4.76,556.33,182.03,147.59,0.72,Clay,8.26
8.44,14.18,23.3,3.74,507.76,17.11,66.82,0.66,Clay,7.55
4.9,3.21,5.41,,566.92,196.66,44.59,0.15,Loamy,11.98
4.88,5.43,44.84,1.73,431.88,204.9,,0.19,Loamy,10.84
6.77,56.09,40.1,1.71,266.42,95.72,279.89,1.44,Loamy,8.3
5.92,51.54,29.32,3.4,314.88,90.13,243.13,0.72,Loamy,11.49
7.64,31.33,39.09,2.98,599.4,188.11,90.48,0.76,Sandy,0.2
6.8,42.85,13.69,2.92,542.25,199.93,369.13,0.42,Loamy,10.07
8.37,39.71,46.49,4.46,217.38,172.75,363.25,3.17,Sandy,6.11
9.05,68.66,42.41,4.7,544.24,85.99,518.81,2.42,Loamy,7.9
7.47,38.8,5.1,4.31,106.15,101.8,597.7,0.57,Loamy,10.2
7.66,18.93,44.48,3.77,381.25,16.26,30.87,0.59,Loamy,6.05
,51.61,18.37,1.78,100.4,93.37,569.2,1.89,Clay,0.16
,54.13,36.32,1.47,445.62,14.41,137.41,0.45,Clay,5.7
6.31,54.6,7.98,5.29,404.0,168.99,556.03,0.69,Sandy,10.5
5.34,0.23,33.71,5.31,187.57,66.52,59.97,1.19,Loamy,11.68
9.27,4.95,39.46,2.67,363.04,54.31,191.07,2.87,Sandy,3.49
6.14,55.09,22.52,5.37,45.66,67.8,455.13,2.64,Sandy,8.51
4.39,53.95,18.94,3.03,244.69,142.95,468.0,1.04,Loamy,3.72
7.08,26.0,17.5,5.69,573.81,116.06,95.95,1.24,,8.29
9.19,45.2,8.98,2.32,558.14,31.95,202.59,0.47,Clay,6.35
8.91,30.6,33.88,2.58,527.44,18.4,535.66,3.4,Sandy,9.6
5.4,63.72,36.93,,396.71,241.85,190.94,3.48,Loamy,8.97
6.22,,8.82,3.82,104.42,33.19,616.6,0.57,Sandy,1.83
6.06,62.29,34.5,0.81,121.15,89.17,287.88,0.59,Loamy,0.35
6.31,22.4,24.81,2.4,77.4,135.67,285.97,0.71,Clay,11.56
6.04,,38.87,0.18,241.05,164.82,417.03,1.94,Clay,9.06
8.87,33.71,25.01,0.5,380.93,193.73,677.62,3.37,Loamy,9.98
5.06,1.98,31.63,,290.45,125.77,643.69,2.32,Clay,2.05
8.48,51.28,41.56,2.15,247.46,66.51,266.39,0.65,Clay,4.59
4.09,38.53,36.5,2.89,,,608.34,2.99,Loamy,7.45
9.35,55.48,17.91,1.08,304.21,100.7,621.73,1.63,Loamy,0.8
6.28,39.08,46.96,1.05,316.86,,214.58,0.51,Sandy,11.48
6.28,27.44,28.55,4.7,537.61,188.15,174.93,0.24,Clay,7.13
8.26,56.83,30.78,3.21,182.48,246.65,630.96,1.25,Loamy,3.17
6.15,22.24,9.95,4.58,440.93,101.88,572.27,1.66,Sandy,7.62
5.66,46.43,13.76,3.78,493.01,68.77,671.8,2.69,Sandy,9.07
5.72,42.57,32.48,3.47,307.3,37.3,636.33,0.2,Clay,0.05
5.55,31.21,48.52,3.88,230.16,240.82,527.19,3.29,Loamy,0.13
4.93,31.19,7.86,1.36,228.9,164.45,,0.07,Sandy,5.97
7.58,28.44,34.36,2.21,301.22,191.99,383.41,0.98,Clay,8.56
7.35,22.75,39.56,2.86,255.96,138.32,,0.26,Clay,5.72
8.36,,23.41,0.68,410.54,77.76,46.35,0.24,Clay,11.97
6.57,4.2,29.61,5.59,70.15,127.6,379.09,3.36,Clay,3.09
9.33,2.38,20.36,5.87,302.1,111.14,620.06,,Clay,9.25
4.51,24.97,44.9,1.9,82.93,200.26,606.92,3.06,Sandy,3.77
5.89,8.84,40.45,3.16,394.75,27.95,594.94,3.12,Sandy,8.83
4.68,38.1,38.27,0.51,16.64,97.06,691.19,1.76,Clay,7.73
6.83,18.8,10.24,5.12,520.9,3.86,141.75,0.92,Clay,4.5
7.28,58.88,47.38,1.23,341.18,21.49,399.87,1.85,Sandy,5.93
5.17,44.27,37.77,5.13,544.05,51.77,294.61,0.99,Clay,2.33
4.55,9.19,42.69,0.4,406.57,61.08,210.93,,Clay,2.13
6.97,12.79,44.65,5.77,444.38,113.71,294.39,1.91,Sandy,11.35
4.17,58.21,39.23,2.99,26.41,235.17,221.78,1.95,Clay,8.61
9.18,35.79,31.3,3.3,151.1,241.19,79.07,1.98,Sandy,11.21
4.36,45.32,17.85,3.5,478.26,149.83,350.32,1.64,,11.91
6.18,44.46,5.85,,,89.52,606.36,2.18,Clay,9.57
4.26,33.45,39.57,5.35,331.8,131.83,65.94,0.38,Loamy,2.57
5.66,47.85,18.9,0.78,,135.37,400.35,3.29,Clay,6.67
4.66,16.05,7.18,4.31,347.79,48.45,231.51,1.22,Sandy,10.22
4.15,68.74,41.61,2.53,293.11,116.43,181.32,2.25,Loamy,8.45
7.88,55.31,46.22,0.23,66.06,179.58,,0.76,Sandy,1.63
7.1,56.38,12.98,5.16,456.49,170.1,158.23,0.26,Clay,7.52
8.41,40.11,,4.11,399.68,51.01,474.51,2.67,Sandy,1.31
6.59,39.85,31.23,1.5,389.09,91.87,127.16,1.8,Loamy,8.67
5.86,3.19,30.64,0.63,503.97,76.54,67.14,2.79,Loamy,11.83
4.59,51.83,47.52,4.44,177.06,180.13,38.13,0.28,Clay,1.69
5.94,26.71,5.34,0.92,85.33,139.03,272.0,2.14,Sandy,2.74
8.62,39.73,48.36,4.69,445.42,243.3,493.59,0.69,Loamy,9.43
,55.2,42.51,1.04,92.92,4.6,486.29,2.92,Clay,1.43
7.83,53.09,33.5,2.15,563.42,149.9,570.6,,Sandy,10.83
5.22,23.12,42.58,2.55,301.59,75.16,150.51,,Clay,11.02
8.43,,38.94,2.93,484.06,186.84,566.61,1.19,Loamy,7.25
5.51,7.58,24.85,3.54,162.5,65.04,396.87,0.31,Clay,4.76
6.27,66.42,49.24,1.58,111.63,82.27,188.58,1.86,Sandy,6.19
8.63,69.14,6.09,5.68,,171.08,,0.4,Loamy,8.05
7.1,66.34,,1.51,68.66,223.52,638.76,,Clay,4.6
8.41,51.52,26.36,0.23,275.45,90.03,341.33,1.36,Clay,4.57
6.83,40.53,39.26,5.99,282.13,161.7,263.01,2.53,Loamy,10.17
5.31,34.79,48.14,5.85,524.46,109.41,641.34,0.07,Clay,5.08
4.25,22.9,22.43,2.87,403.27,79.24,616.09,2.54,Sandy,1.28
8.66,,13.58,4.94,118.41,20.21,,3.02,Clay,7.21
8.55,,8.62,3.82,504.06,39.59,92.17,,Loamy,9.26
5.29,48.3,19.76,2.66,398.63,224.02,495.26,2.82,,2.93
9.23,66.05,6.08,4.13,302.4,27.83,481.23,2.25,Sandy,3.08
4.8,37.34,36.04,2.01,253.35,83.09,412.73,1.99,Loamy,0.25
7.47,50.0,7.39,4.15,233.27,195.5,561.94,2.22,Sandy,3.25
5.61,48.21,17.87,2.62,551.51,123.86,422.91,1.2,Sandy,9.78
8.89,22.62,41.06,,410.62,194.98,237.8,1.99,Sandy,2.01
7.79,31.65,28.37,5.38,65.32,196.25,,1.26,Clay,2.1
5.8,1.98,14.27,3.62,66.01,,540.83,1.7,Sandy,1.91
5.44,54.4,23.29,5.94,434.2,179.98,73.62,2.32,,5.58
6.15,59.8,9.37,2.89,349.12,175.96,474.94,1.88,Loamy,2.73
5.85,55.1,13.29,1.67,306.17,92.1,332.69,1.67,Loamy,4.74
6.65,31.42,22.42,5.58,93.41,147.65,331.57,2.11,Loamy,5.23
8.39,57.92,46.6,4.28,120.9,80.66,152.82,1.05,Clay,10.68
,50.89,14.29,0.58,323.1,,312.79,2.29,Sandy,5.67
8.02,1.36,16.55,2.66,,179.58,425.52,1.5,,1.61
6.95,58.77,14.24,5.63,122.51,24.51,83.88,1.26,,0.64
4.91,46.05,9.34,2.07,59.88,52.29,587.83,1.47,Loamy,6.67
7.34,51.21,6.29,0.69,263.79,121.03,533.89,0.43,,1.02
4.29,47.65,13.3,0.47,499.31,138.41,,1.15,Sandy,11.27
5.57,,44.37,4.67,129.56,164.86,483.18,0.22,Clay,2.93
7.74,63.07,12.94,,482.0,167.82,93.08,3.33,Sandy,11.51
7.29,24.47,47.5,2.11,550.32,212.38,501.33,1.47,Sandy,4.86
5.71,47.6,14.37,2.9,67.22,176.58,165.52,2.91,Loamy,3.17
4.63,10.45,16.93,2.48,407.48,218.1,42.77,1.02,Loamy,10.55
4.62,33.67,15.84,3.06,445.26,30.2,501.72,2.34,Loamy,7.57
,52.87,49.61,1.89,141.65,43.71,122.39,2.72,Sandy,1.14
7.43,43.37,,4.71,13.47,169.55,48.12,2.8,Sandy,2.63
6.98,28.98,40.51,,90.17,152.86,242.76,0.06,Loamy,1.83
4.78,60.98,14.44,3.92,207.21,40.41,344.44,0.52,Clay,5.28
,19.94,11.36,3.11,171.59,35.32,573.96,2.33,Loamy,6.34
7.64,31.33,39.09,2.98,599.4,188.11,90.48,0.76,Sandy,0.2
4.05,38.25,40.91,4.48,409.16,130.0,543.35,3.39,Loamy,7.77
9.23,5.0,15.27,4.97,118.36,197.07,266.51,1.41,Sandy,11.29
7.18,33.76,7.0,2.46,91.38,24.79,,2.92,Clay,2.76
5.62,22.56,13.99,4.57,171.25,174.0,285.03,3.13,Loamy,10.45
5.18,21.89,12.97,2.85,568.5,161.92,89.11,1.63,Clay,4.13
7.45,41.82,11.94,1.25,138.29,196.95,60.66,0.7,Loamy,8.28
5.37,60.76,41.07,4.96,147.78,223.12,199.39,2.38,Loamy,8.82
7.95,5.21,45.99,5.55,306.8,192.89,,0.43,Sandy,3.65
5.76,61.84,20.45,5.56,563.43,28.49,250.8,2.84,Sandy,5.48
6.66,52.84,26.54,0.53,145.14,8.27,181.17,,Sandy,10.75
6.41,5.22,47.77,0.67,431.93,103.6,179.28,1.33,Sandy,6.01
6.03,62.65,,0.29,190.06,87.57,525.84,0.33,Clay,10.91
4.12,,22.74,4.88,448.81,235.8,303.51,3.3,Sandy,3.17
6.52,36.38,23.92,0.63,138.0,192.97,316.3,1.34,Clay,9.33
7.83,43.91,40.1,2.06,564.52,170.5,310.59,2.21,Loamy,6.32
5.55,32.61,31.84,3.11,124.06,249.08,663.22,2.22,Sandy,8.89
6.95,34.7,27.03,3.03,248.58,195.31,150.43,0.94,Sandy,0.15
7.21,45.67,5.11,3.31,156.15,231.56,92.57,0.4,Sandy,1.37
4.03,59.04,33.01,2.8,452.23,60.73,643.77,3.38,Clay,11.04
8.51,62.71,38.22,5.24,268.92,80.65,192.1,2.26,Clay,2.7
4.99,47.7,27.46,5.32,590.48,40.98,579.53,2.2,Loamy,8.8
9.04,,15.51,4.59,68.15,10.35,402.93,1.22,Clay,1.68
,15.26,33.62,0.97,482.04,,657.19,3.16,Sandy,6.98
4.29,58.81,6.16,4.45,388.08,159.13,402.87,0.38,Clay,2.99
7.51,17.11,23.76,,243.74,248.82,,2.86,Loamy,10.96
9.29,2.97,11.74,5.73,252.1,55.72,587.03,0.23,Sandy,1.14
4.88,56.78,48.2,3.07,195.18,199.3,676.56,1.87,Loamy,10.76
8.96,25.04,43.53,3.32,106.14,14.53,212.62,1.01,Clay,8.86
5.44,12.28,29.36,2.82,541.1,195.39,420.71,0.54,Sandy,7.01
9.5,,45.81,0.16,483.47,39.86,678.01,1.14,Sandy,3.16
,41.78,25.47,0.59,237.59,166.16,317.55,2.96,Loamy,11.81
8.29,50.16,16.53,,159.1,186.1,660.67,1.54,Loamy,2.67
7.91,43.21,10.8,3.2,161.83,,108.86,1.27,Loamy,0.31
5.21,14.29,6.21,3.34,,130.88,545.32,0.74,Sandy,8.37
7.58,6.12,43.58,4.06,219.81,145.84,409.38,3.49,Clay,10.98
7.32,24.08,18.53,2.11,246.68,200.98,243.7,3.24,Clay,3.04
6.45,29.61,48.0,2.92,54.29,220.11,163.75,0.59,Clay,5.3
5.99,3.06,28.01,5.71,14.25,173.93,336.16,2.17,Sandy,1.94
4.69,17.71,43.44,,131.02,146.76,659.92,3.0,Clay,8.48
,52.97,37.92,5.89,181.9,70.39,390.38,1.21,Clay,1.82
,52.67,49.99,3.87,583.13,55.24,139.98,0.16,Clay,2.91
8.29,8.26,16.75,3.35,168.2,210.61,248.48,1.33,Clay,10.82
4.37,38.59,42.42,4.83,208.92,80.97,282.4,0.58,Clay,1.62
5.51,50.05,17.28,0.93,494.42,123.15,416.76,3.46,Sandy,8.45
8.79,10.43,31.57,0.64,499.15,206.66,160.76,2.45,Loamy,9.59
9.32,58.59,46.33,5.37,527.99,249.98,656.78,1.84,Loamy,9.65
6.53,20.8,16.44,3.87,518.3,19.74,483.28,0.81,Sandy,0.77
6.2,13.86,31.97,2.33,,181.88,165.76,0.23,Sandy,2.3
7.21,26.11,,4.78,591.53,26.69,101.31,1.21,Loamy,0.56
4.84,41.32,19.57,5.92,537.54,179.86,676.52,1.0,Sandy,7.28
4.56,56.44,,5.42,170.15,,660.43,2.11,Loamy,6.02
5.83,59.41,12.85,3.05,416.13,218.69,306.7,2.79,Loamy,7.99
5.17,50.55,11.98,4.82,131.18,48.41,273.48,0.64,Sandy,5.07
7.72,23.18,31.02,0.68,178.85,210.12,642.97,1.13,Loamy,0.57
8.13,31.17,14.83,5.41,457.65,44.91,328.59,1.32,Loamy,0.31
7.5,5.59,48.21,3.99,462.94,244.22,437.03,2.66,Clay,8.68
,9.61,,4.71,13.66,239.84,103.01,3.11,Sandy,6.83
5.08,49.97,20.9,4.72,161.07,37.13,554.15,2.6,Clay,5.14
5.78,33.32,26.79,2.91,66.97,194.02,506.94,2.93,Loamy,10.95
8.32,69.65,41.24,1.03,,174.42,215.36,1.57,Loamy,8.31
,61.82,,5.3,389.34,164.39,464.02,1.18,Loamy,5.53
4.26,56.68,32.36,,65.49,163.51,486.03,1.97,Sandy,8.74
5.71,62.89,27.28,4.27,53.04,52.64,150.6,2.11,Loamy,2.27
4.72,69.14,11.32,5.71,140.31,243.66,296.34,2.22,Loamy,6.68
,24.89,,,376.46,50.42,525.42,0.55,Sandy,9.93
4.35,52.54,33.46,2.87,18.82,,640.98,1.92,Clay,9.33
4.59,53.91,43.87,1.5,468.76,141.64,422.35,0.31,Sandy,5.45
6.56,62.13,18.75,2.55,63.8,15.93,680.54,2.15,Loamy,7.36
6.85,48.94,41.17,2.14,575.39,207.87,104.03,1.06,Sandy,1.91
6.08,58.59,35.09,3.48,327.07,241.38,695.66,1.19,Sandy,1.25
4.2,66.97,40.78,2.25,256.38,105.08,144.08,0.63,Clay,0.6
4.6,22.12,37.82,5.45,,,628.3,1.06,Clay,4.16
4.21,62.69,15.68,4.25,357.1,75.63,515.63,1.28,Sandy,6.56
6.6,25.11,8.28,,133.64,219.59,579.4,2.07,Loamy,9.48
6.24,21.55,5.34,5.03,528.89,98.79,308.66,,Clay,4.88
5.75,11.13,28.38,0.12,541.22,197.84,585.93,1.38,Loamy,4.55
8.51,17.14,40.0,0.51,266.48,148.75,270.9,3.2,Clay,8.47
6.83,12.48,26.18,1.43,100.15,41.75,166.07,0.21,Clay,2.85
4.29,8.0,27.19,2.1,450.97,204.28,692.41,2.25,Clay,1.21
5.54,2.02,18.63,3.45,358.11,17.76,49.93,1.53,Clay,6.38
5.96,8.26,24.2,4.16,14.95,22.52,468.27,0.88,Clay,3.92
,8.6,41.47,0.88,369.67,101.5,544.08,2.37,Sandy,7.54
4.73,5.34,,2.78,64.7,59.58,258.99,2.31,Clay,9.29
6.78,35.23,35.71,1.37,147.53,164.52,244.93,1.03,Clay,2.63
4.03,59.04,33.01,2.8,452.23,60.73,643.77,3.38,Clay,11.04
5.95,34.9,47.9,4.75,165.64,4.91,331.93,1.48,Clay,3.93
8.8,,24.07,,497.37,170.76,539.84,0.18,Sandy,3.89
8.96,51.4,42.42,4.17,594.62,25.21,438.13,1.45,Sandy,5.05
6.63,67.78,,0.82,314.53,189.41,488.9,0.87,Clay,1.46
8.66,33.47,,3.6,534.8,226.33,254.58,2.34,Clay,0.73
8.03,11.7,21.59,,488.59,232.45,,0.44,Loamy,5.33
4.13,36.88,44.19,4.97,157.29,21.55,148.25,0.08,Sandy,4.07
,60.44,26.32,4.7,515.26,231.21,610.54,2.27,Loamy,7.57
8.59,44.04,9.41,2.65,415.25,,390.6,2.72,Sandy,1.28
8.41,1.02,,0.97,195.19,141.37,310.78,2.89,Clay,7.06
8.93,43.6,,2.59,131.47,117.16,178.26,0.42,Clay,5.87
5.41,54.83,17.62,4.79,259.85,128.2,32.62,,Clay,2.46
8.47,56.25,20.87,3.35,339.82,4.26,32.63,0.86,Loamy,0.2
8.53,13.86,37.64,0.94,350.42,248.44,231.5,0.62,Loamy,4.95
5.06,45.57,13.72,4.26,,197.78,629.31,1.73,Sandy,1.74
8.78,2.19,38.72,4.73,103.85,82.33,94.26,1.26,Loamy,2.61
4.22,31.09,9.03,5.85,407.27,78.06,208.94,3.32,Sandy,4.89
4.93,2.67,15.9,4.86,,172.86,91.43,2.62,Loamy,2.92
8.03,24.25,24.0,4.31,265.64,75.33,677.73,0.23,Sandy,7.07
6.01,12.72,,5.64,415.93,,366.89,1.85,Sandy,1.42
6.05,7.88,8.17,3.2,36.86,207.9,369.73,1.77,Loamy,9.89
7.83,5.1,13.57,4.45,269.8,49.56,48.85,3.31,Sandy,4.74
9.14,,39.19,1.63,72.0,17.69,537.27,1.24,Loamy,11.07
4.68,30.75,41.14,3.22,111.63,194.3,598.68,2.07,Sandy,10.15
4.7,,34.89,1.96,405.97,16.29,196.38,0.91,Loamy,10.85
4.27,52.79,44.31,2.65,,132.18,460.75,1.56,Loamy,11.11
7.9,,28.84,3.42,598.25,122.01,414.65,0.13,Loamy,1.09
5.07,28.96,8.91,3.03,193.92,7.56,589.44,0.24,Sandy,0.77
4.89,48.37,39.14,5.55,254.56,125.2,268.46,0.2,Loamy,9.48
6.32,21.97,45.45,3.67,266.81,18.47,130.86,1.45,Loamy,11.26
5.28,39.38,12.28,1.1,365.82,154.15,327.62,2.46,Loamy,9.53
8.29,46.64,6.41,1.33,218.5,99.97,172.39,0.48,Loamy,10.41
8.89,25.02,32.88,4.98,549.24,199.65,95.71,1.36,Clay,8.21
5.59,10.1,11.21,5.78,417.82,119.59,,3.07,Clay,7.85
7.83,10.9,29.51,4.47,575.26,132.62,,0.45,Clay,2.06
,48.71,48.31,0.64,196.58,50.58,338.83,2.05,Loamy,6.5
6.21,40.15,20.86,3.73,583.03,117.44,162.37,1.69,Sandy,1.63
4.12,56.24,15.0,1.18,25.42,86.23,625.25,3.36,Sandy,8.21
5.64,16.57,48.75,5.46,86.48,205.64,522.96,0.9,Loamy,10.75
5.07,66.26,37.22,5.6,584.97,119.74,638.85,0.54,Loamy,9.29
7.7,61.16,26.52,5.44,224.25,47.29,179.08,2.23,Clay,9.76
7.92,25.58,27.69,3.96,199.03,2.45,619.08,1.98,Loamy,7.46
4.81,67.64,44.03,1.68,50.79,196.41,595.65,0.66,Loamy,6.13
7.5,50.59,29.65,3.9,345.13,190.47,477.69,1.48,Loamy,6.09
9.33,3.28,5.46,0.07,96.89,103.35,218.74,2.56,Clay,10.71
6.57,62.09,16.4,0.33,467.59,55.2,585.41,1.5,,10.7
8.81,36.54,36.57,3.06,288.98,142.43,421.48,2.88,Clay,8.13
7.06,27.28,40.98,2.95,534.21,137.49,428.14,2.73,,3.25
4.8,,17.15,0.28,265.26,75.69,197.6,0.44,Sandy,8.52
5.33,65.5,7.5,1.83,484.24,93.5,518.34,1.45,Loamy,1.76
4.0,59.57,17.38,2.14,237.1,,311.41,0.79,Loamy,7.82
5.57,27.74,,5.08,28.06,97.4,425.13,3.32,Clay,5.7
,53.58,12.98,2.71,40.65,202.68,699.37,1.81,,5.75
7.77,40.64,46.89,1.56,317.55,112.79,651.56,2.34,Clay,0.56
9.18,12.83,46.97,1.57,393.68,165.2,,2.47,Clay,0.94
6.49,63.09,12.23,4.82,57.92,107.92,,,Clay,1.25
8.9,19.01,31.28,1.31,278.48,147.54,154.61,1.92,Clay,9.82
,55.15,25.99,5.63,283.48,188.11,549.03,2.8,Loamy,0.89
4.47,32.11,21.69,4.11,398.5,248.28,510.28,2.34,Sandy,6.75
8.63,7.26,12.58,5.98,590.71,82.06,491.06,1.02,Loamy,9.66
4.73,1.46,,5.32,115.26,154.63,102.41,1.3,,3.59
6.16,51.47,29.02,3.46,517.54,230.36,282.74,2.03,Sandy,0.46
